company,Prev_Close,Current_Price,Changes,comments
Jagsonpal Pharma,305.20,335.65,9.98,weekly nse groupall 2022-12-02
IRB Infrastructure,250.05,274.55,9.8,weekly nse groupall 2022-12-02
Centrum Capital,24.75,27.15,9.7,weekly nse groupall 2022-12-02
Setco Automotive,10.85,11.90,9.68,weekly nse groupall 2022-12-02
MMTC Ltd.,38.25,41.95,9.67,weekly nse groupall 2022-12-02
Kalyan Jewellers Ind,100.15,109.75,9.59,weekly nse groupall 2022-12-02
Godawari Power & Isp,302.90,331.95,9.59,weekly nse groupall 2022-12-02
APL Apollo Tubes,"1,081.85","1,185.50",9.58,weekly nse groupall 2022-12-02
MTAR Technologies,"1,585.95","1,737.80",9.57,weekly nse groupall 2022-12-02
Bandhan Bank,219.15,240.10,9.56,weekly nse groupall 2022-12-02
Ashoka Buildcon Ltd.,74.35,81.45,9.55,weekly nse groupall 2022-12-02
S Chand & Company,179.50,196.60,9.53,weekly nse groupall 2022-12-02
MPS Ltd.,894.25,979.20,9.5,weekly nse groupall 2022-12-02
Sakthi Sugars,21.15,23.15,9.46,weekly nse groupall 2022-12-02
Mold-Tek Technologi.,103.85,113.65,9.44,weekly nse groupall 2022-12-02
Persistent Systems,"3,970.80","4,345.25",9.43,weekly nse groupall 2022-12-02
HPL Electric & Power,99.75,109.15,9.42,weekly nse groupall 2022-12-02
Bombay Burmah,918.65,"1,005.05",9.41,weekly nse groupall 2022-12-02
Apollo Micro Systems,247.30,270.45,9.36,weekly nse groupall 2022-12-02
SKM Egg Produc,123.05,134.55,9.35,weekly nse groupall 2022-12-02
RKEC Projects,44.05,48.15,9.31,weekly nse groupall 2022-12-02
Zensar Technologies,216.70,236.75,9.25,weekly nse groupall 2022-12-02
AMJ Land Holdings L,27.80,30.35,9.17,weekly nse groupall 2022-12-02
Punj. & Sind Ban,21.30,23.25,9.15,weekly nse groupall 2022-12-02
Sambhaav Media Ltd.,3.85,4.20,9.09,weekly nse groupall 2022-12-02
Nelcast Ltd.,87.10,95.00,9.07,weekly nse groupall 2022-12-02
Strides Pharma Scien,320.75,349.80,9.06,weekly nse groupall 2022-12-02
Shriram Properties,74.05,80.75,9.05,weekly nse groupall 2022-12-02
Prince Pipes & Fitti,548.80,597.90,8.95,weekly nse groupall 2022-12-02
Nelco Ltd,749.60,816.70,8.95,weekly nse groupall 2022-12-02
Greenpanel Industrie,356.60,388.40,8.92,weekly nse groupall 2022-12-02
Minda Corporation,202.50,220.55,8.91,weekly nse groupall 2022-12-02
Aspinwall and Co,211.45,230.25,8.89,weekly nse groupall 2022-12-02
Apollo Tyres,293.20,319.20,8.87,weekly nse groupall 2022-12-02
Bannari Amman Spinni,48.15,52.40,8.83,weekly nse groupall 2022-12-02
Sri Adhikari Bro,1.70,1.85,8.82,weekly nse groupall 2022-12-02
GIC Housing Fi,157.30,171.15,8.8,weekly nse groupall 2022-12-02
Damodar Industries,49.70,54.05,8.75,weekly nse groupall 2022-12-02
HLE Glasscoat,633.75,689.00,8.72,weekly nse groupall 2022-12-02
Visagar Polytex Ltd.,1.15,1.25,8.7,weekly nse groupall 2022-12-02
Eastern Silk Indust.,3.45,3.75,8.7,weekly nse groupall 2022-12-02
Puravankara,86.35,93.85,8.69,weekly nse groupall 2022-12-02
Solar Industries Ind,"3,759.70","4,086.20",8.68,weekly nse groupall 2022-12-02
SML Isuzu Ltd.,691.80,751.80,8.67,weekly nse groupall 2022-12-02
Subex Ltd.,31.20,33.90,8.65,weekly nse groupall 2022-12-02
Arvee Laboratories,95.95,104.25,8.65,weekly nse groupall 2022-12-02
E2E Networks,175.60,190.75,8.63,weekly nse groupall 2022-12-02
Hariom Pipe Industri,313.55,340.45,8.58,weekly nse groupall 2022-12-02
Heritage Foods,318.15,345.45,8.58,weekly nse groupall 2022-12-02
Madhav Marbles & Gra,42.25,45.85,8.52,weekly nse groupall 2022-12-02
Roto Pumps Ltd,432.65,469.45,8.51,weekly nse groupall 2022-12-02
Indian Railway Fin,31.80,34.50,8.49,weekly nse groupall 2022-12-02
Atlanta Ltd.,17.75,19.25,8.45,weekly nse groupall 2022-12-02
MphasiS Ltd.,"1,989.55","2,157.35",8.43,weekly nse groupall 2022-12-02
Mastek Li,"1,648.65","1,787.30",8.41,weekly nse groupall 2022-12-02
Patel Integrated Log,13.10,14.20,8.4,weekly nse groupall 2022-12-02
Nahar Indust.Ent,110.85,120.15,8.39,weekly nse groupall 2022-12-02
