company,Prev_Close,Current_Price,Changes,comments
FACT,142.50,146.25,2.63,weekly nse groupall 2022-12-02
Sun Pharma Advanced,247.75,254.25,2.62,weekly nse groupall 2022-12-02
Kingfa Science & Tec,"1,286.10","1,319.65",2.61,weekly nse groupall 2022-12-02
EIH Associated,451.45,463.25,2.61,weekly nse groupall 2022-12-02
Century Textiles,790.05,810.70,2.61,weekly nse groupall 2022-12-02
Dwarikesh Sugar,97.55,100.10,2.61,weekly nse groupall 2022-12-02
Godrej Consumer Prod,859.35,881.65,2.59,weekly nse groupall 2022-12-02
Jai Corp Ltd.,164.35,168.60,2.59,weekly nse groupall 2022-12-02
Avenue Supermarts,"3,904.45","4,005.75",2.59,weekly nse groupall 2022-12-02
LTIMindtree,"4,938.30","5,065.75",2.58,weekly nse groupall 2022-12-02
Shree Renuka Sugars,58.15,59.65,2.58,weekly nse groupall 2022-12-02
Balaji Amines Li,"2,925.00","3,000.05",2.57,weekly nse groupall 2022-12-02
Hind. Oil Explor,140.10,143.70,2.57,weekly nse groupall 2022-12-02
Centum Electronics L,551.35,565.50,2.57,weekly nse groupall 2022-12-02
Khaitan Chemical,74.45,76.35,2.55,weekly nse groupall 2022-12-02
Agarwal Industrial C,634.50,650.70,2.55,weekly nse groupall 2022-12-02
Cerebra Integrat,35.30,36.20,2.55,weekly nse groupall 2022-12-02
Marine Electricals,33.30,34.15,2.55,weekly nse groupall 2022-12-02
Reliance Ind.Inf,"1,023.50","1,049.50",2.54,weekly nse groupall 2022-12-02
Trent Ltd.,"1,432.40","1,468.70",2.53,weekly nse groupall 2022-12-02
Jocil Ltd.,182.75,187.35,2.52,weekly nse groupall 2022-12-02
Sanghi Industrie,67.40,69.10,2.52,weekly nse groupall 2022-12-02
Honda India Power,"2,571.90","2,636.60",2.52,weekly nse groupall 2022-12-02
Rail Vikas Nigam,73.30,75.15,2.52,weekly nse groupall 2022-12-02
Pil Italica Lifestyl,7.95,8.15,2.52,weekly nse groupall 2022-12-02
Vinati Organics,"2,091.70","2,144.25",2.51,weekly nse groupall 2022-12-02
Aro Granite Indu,43.90,45.00,2.51,weekly nse groupall 2022-12-02
Bigbloc Construction,153.70,157.55,2.5,weekly nse groupall 2022-12-02
ICICI Securities,523.35,536.35,2.48,weekly nse groupall 2022-12-02
Zuari Agro Chemicals,157.25,161.15,2.48,weekly nse groupall 2022-12-02
Control Print Ltd.,413.95,424.20,2.48,weekly nse groupall 2022-12-02
Manugraph India Ltd.,14.15,14.50,2.47,weekly nse groupall 2022-12-02
Kovai Medical,"1,720.60","1,763.15",2.47,weekly nse groupall 2022-12-02
Man Infraconstructio,77.10,79.00,2.46,weekly nse groupall 2022-12-02
Linde India,"3,042.20","3,117.00",2.46,weekly nse groupall 2022-12-02
Reliance Chemote,187.35,191.95,2.46,weekly nse groupall 2022-12-02
DMCC Speciality Chem,292.75,299.95,2.46,weekly nse groupall 2022-12-02
Waterbase Ltd.,77.45,79.35,2.45,weekly nse groupall 2022-12-02
Bharat Bijlee,"2,317.00","2,373.35",2.43,weekly nse groupall 2022-12-02
Glenmark Life Scienc,422.35,432.55,2.42,weekly nse groupall 2022-12-02
Heranba Industries L,520.65,533.25,2.42,weekly nse groupall 2022-12-02
Engineers India,80.45,82.40,2.42,weekly nse groupall 2022-12-02
JSW Ispat Special,30.95,31.70,2.42,weekly nse groupall 2022-12-02
Palred Technologies,151.45,155.10,2.41,weekly nse groupall 2022-12-02
Ujjivan SmallFinance,29.20,29.90,2.4,weekly nse groupall 2022-12-02
Container Corpor,762.95,781.25,2.4,weekly nse groupall 2022-12-02
Colgate Palm.,"1,580.00","1,617.90",2.4,weekly nse groupall 2022-12-02
Shoppers Stop,679.95,696.20,2.39,weekly nse groupall 2022-12-02
P&G Health,"4,081.90","4,179.35",2.39,weekly nse groupall 2022-12-02
Wipro,402.80,412.40,2.38,weekly nse groupall 2022-12-02
G R Infraprojects,"1,178.25","1,206.35",2.38,weekly nse groupall 2022-12-02
20 Microns Ltd.,92.70,94.90,2.37,weekly nse groupall 2022-12-02
Wockhardt Ltd.,238.05,243.70,2.37,weekly nse groupall 2022-12-02
ICRA Ltd.,"4,288.50","4,390.15",2.37,weekly nse groupall 2022-12-02
Vipul Ltd.,12.65,12.95,2.37,weekly nse groupall 2022-12-02
Ambuja Cements Ltd.,564.65,577.95,2.36,weekly nse groupall 2022-12-02
Filatex India,95.40,97.65,2.36,weekly nse groupall 2022-12-02
Gillette India,"5,055.30","5,174.10",2.35,weekly nse groupall 2022-12-02
Tips Industries,"1,797.00","1,838.80",2.33,weekly nse groupall 2022-12-02
Pansari Developers,88.00,90.05,2.33,weekly nse groupall 2022-12-02
JSW Steel,726.20,743.05,2.32,weekly nse groupall 2022-12-02
Pitti Engineering,316.90,324.25,2.32,weekly nse groupall 2022-12-02
Veranda Learning Sol,281.90,288.45,2.32,weekly nse groupall 2022-12-02
Snowman Logistics Lt,36.70,37.55,2.32,weekly nse groupall 2022-12-02
Punjab Chemicals and,"1,176.40","1,203.75",2.32,weekly nse groupall 2022-12-02
NRB Industrial Beari,21.65,22.15,2.31,weekly nse groupall 2022-12-02
Dynacons Systems,338.20,346.00,2.31,weekly nse groupall 2022-12-02
Zenith Exports L,93.30,95.45,2.3,weekly nse groupall 2022-12-02
Biofil Chemicals,54.65,55.90,2.29,weekly nse groupall 2022-12-02
Gujarat Pipavav Port,90.05,92.10,2.28,weekly nse groupall 2022-12-02
Onelife Capital Adv,13.30,13.60,2.26,weekly nse groupall 2022-12-02
Trigyn Technolog,102.70,105.00,2.24,weekly nse groupall 2022-12-02
Alpa Laboratories Lt,53.55,54.75,2.24,weekly nse groupall 2022-12-02
Metropolis Healthcar,"1,446.25","1,478.65",2.24,weekly nse groupall 2022-12-02
Info Edge (India),"3,954.60","4,042.60",2.23,weekly nse groupall 2022-12-02
Sapphire Foods India,"1,328.95","1,358.30",2.21,weekly nse groupall 2022-12-02
Banco Products,200.25,204.65,2.2,weekly nse groupall 2022-12-02
Magadh Sugar & Energ,303.25,309.90,2.19,weekly nse groupall 2022-12-02
Kaushalya Infrastruc,4.60,4.70,2.17,weekly nse groupall 2022-12-02
Tamilnad Mercantile,510.05,521.10,2.17,weekly nse groupall 2022-12-02
Zydus Wellness Ltd.,"1,579.10","1,613.35",2.17,weekly nse groupall 2022-12-02
Rane Brake Lining Lt,722.85,738.55,2.17,weekly nse groupall 2022-12-02
The Grob Tea Company,898.00,917.30,2.15,weekly nse groupall 2022-12-02
Indowind Energy Ltd.,14.05,14.35,2.14,weekly nse groupall 2022-12-02
Jindal Drilling,313.95,320.65,2.13,weekly nse groupall 2022-12-02
Indo Borax,148.30,151.45,2.12,weekly nse groupall 2022-12-02
Aditya Birla Fashion,310.60,317.20,2.12,weekly nse groupall 2022-12-02
Avanti Feeds,388.95,397.20,2.12,weekly nse groupall 2022-12-02
Jindal Saw,92.10,94.05,2.12,weekly nse groupall 2022-12-02
Mishra Dhatu Nig,237.15,242.15,2.11,weekly nse groupall 2022-12-02
Avadh Sugar & Energy,508.45,519.20,2.11,weekly nse groupall 2022-12-02
Vikas Lifecare,4.75,4.85,2.11,weekly nse groupall 2022-12-02
Foseco India Lim,"1,961.50","2,002.70",2.1,weekly nse groupall 2022-12-02
Dr. Reddy's Labs,"4,418.10","4,510.40",2.09,weekly nse groupall 2022-12-02
NACL Industries L,93.45,95.40,2.09,weekly nse groupall 2022-12-02
Ksolves India,422.95,431.80,2.09,weekly nse groupall 2022-12-02
Mangalam Global Ent,31.30,31.95,2.08,weekly nse groupall 2022-12-02
Archidply Decor,64.85,66.20,2.08,weekly nse groupall 2022-12-02
Matrimony.com,612.05,624.65,2.06,weekly nse groupall 2022-12-02
BayerCropscience,"4,541.45","4,635.15",2.06,weekly nse groupall 2022-12-02
Dr. Lal Pathlabs Ltd,"2,428.05","2,478.15",2.06,weekly nse groupall 2022-12-02
Power Finance Co,136.50,139.30,2.05,weekly nse groupall 2022-12-02
MSP Steel & Power Lt,9.75,9.95,2.05,weekly nse groupall 2022-12-02
VLS Finance L,134.05,136.80,2.05,weekly nse groupall 2022-12-02
Jindal Poly Films,861.60,879.10,2.03,weekly nse groupall 2022-12-02
Glenmark Pharma,426.35,434.95,2.02,weekly nse groupall 2022-12-02
Sandesh,814.35,830.70,2.01,weekly nse groupall 2022-12-02
HP Adhesives,390.30,398.15,2.01,weekly nse groupall 2022-12-02
3i Infotech,42.25,43.10,2.01,weekly nse groupall 2022-12-02
Rossari Biotech,799.40,815.35,2.0,weekly nse groupall 2022-12-02
Bank of Baroda,167.85,171.20,2.0,weekly nse groupall 2022-12-02
IndiaMART InterMESH,"4,379.60","4,466.75",1.99,weekly nse groupall 2022-12-02
India Glycols,765.00,780.20,1.99,weekly nse groupall 2022-12-02
Avro India,113.70,115.95,1.98,weekly nse groupall 2022-12-02
Eimco Elecon Ind,427.90,436.30,1.96,weekly nse groupall 2022-12-02
Tata Communications,"1,296.15","1,321.55",1.96,weekly nse groupall 2022-12-02
Axis Bank Ltd.,887.75,905.15,1.96,weekly nse groupall 2022-12-02
GMM Pfaudler Ltd,"1,908.30","1,945.40",1.94,weekly nse groupall 2022-12-02
National Fertilizers,56.75,57.85,1.94,weekly nse groupall 2022-12-02
Modi Rubber,70.05,71.40,1.93,weekly nse groupall 2022-12-02
Transwarranty Financ,10.35,10.55,1.93,weekly nse groupall 2022-12-02
Jain Irrigation,33.70,34.35,1.93,weekly nse groupall 2022-12-02
Murudeshwar Cer.,41.60,42.40,1.92,weekly nse groupall 2022-12-02
Suryalakshmi Cot,60.45,61.60,1.9,weekly nse groupall 2022-12-02
Artemis Medicare,76.30,77.75,1.9,weekly nse groupall 2022-12-02
Adani Green Energy,"2,023.95","2,062.30",1.89,weekly nse groupall 2022-12-02
Everest Industries L,749.80,763.95,1.89,weekly nse groupall 2022-12-02
MT Educare Ltd.,7.95,8.10,1.89,weekly nse groupall 2022-12-02
ISMT Ltd.,50.25,51.20,1.89,weekly nse groupall 2022-12-02
Sagardeep Alloys,26.60,27.10,1.88,weekly nse groupall 2022-12-02
Asian Hotels (North),88.50,90.15,1.86,weekly nse groupall 2022-12-02
SEPC Ltd,8.05,8.20,1.86,weekly nse groupall 2022-12-02
Sanghvi Movers L,303.55,309.20,1.86,weekly nse groupall 2022-12-02
India Nippon Ele,420.40,428.20,1.86,weekly nse groupall 2022-12-02
Kalpataru Power,513.85,523.35,1.85,weekly nse groupall 2022-12-02
Macrotech Developers,"1,030.00","1,048.95",1.84,weekly nse groupall 2022-12-02
Future Market Net,5.45,5.55,1.83,weekly nse groupall 2022-12-02
Cigniti Technologies,537.10,546.95,1.83,weekly nse groupall 2022-12-02
Sastasundar Ventures,294.45,299.85,1.83,weekly nse groupall 2022-12-02
Thermax,"2,057.75","2,095.25",1.82,weekly nse groupall 2022-12-02
Indraprastha Gas Ltd,430.60,438.45,1.82,weekly nse groupall 2022-12-02
Geojit Financial,46.80,47.65,1.82,weekly nse groupall 2022-12-02
Gokaldas Exports,381.35,388.20,1.8,weekly nse groupall 2022-12-02
Indian Terrain Fashi,75.10,76.45,1.8,weekly nse groupall 2022-12-02
Mahanagar Gas,891.20,907.25,1.8,weekly nse groupall 2022-12-02
Sundaram Multi P,2.80,2.85,1.79,weekly nse groupall 2022-12-02
MBL Infrastructure L,22.30,22.70,1.79,weekly nse groupall 2022-12-02
Ginni Filaments,33.45,34.05,1.79,weekly nse groupall 2022-12-02
Viji Finance,2.80,2.85,1.79,weekly nse groupall 2022-12-02
REC,109.05,111.00,1.79,weekly nse groupall 2022-12-02
Sat Industries Ltd.,67.10,68.30,1.79,weekly nse groupall 2022-12-02
India Motor Part,735.40,748.60,1.79,weekly nse groupall 2022-12-02
Motilal Oswal Financ,654.50,666.20,1.79,weekly nse groupall 2022-12-02
PVR Ltd.,"1,866.00","1,899.00",1.77,weekly nse groupall 2022-12-02
STL Global Ltd.,19.90,20.25,1.76,weekly nse groupall 2022-12-02
BF Utilities Ltd.,388.15,394.95,1.75,weekly nse groupall 2022-12-02
Krishna Institute,"1,473.70","1,499.50",1.75,weekly nse groupall 2022-12-02
Madhav Copper,25.85,26.30,1.74,weekly nse groupall 2022-12-02
Manorama Industries,"1,058.85","1,077.15",1.73,weekly nse groupall 2022-12-02
Balkrishna Ind.,"2,026.35","2,060.90",1.71,weekly nse groupall 2022-12-02
Mold-Tek Packaging,889.20,904.40,1.71,weekly nse groupall 2022-12-02
Cineline India,111.25,113.15,1.71,weekly nse groupall 2022-12-02
Apollo Hospitals,"4,789.45","4,871.45",1.71,weekly nse groupall 2022-12-02
BGR Energy Systems,67.25,68.40,1.71,weekly nse groupall 2022-12-02
C.E. Info Systems,"1,189.95","1,210.05",1.69,weekly nse groupall 2022-12-02
Hisar Metal Indu,132.75,135.00,1.69,weekly nse groupall 2022-12-02
Ajanta Pharma Lt,"1,232.15","1,252.80",1.68,weekly nse groupall 2022-12-02
Xelpmoc Design and T,143.10,145.50,1.68,weekly nse groupall 2022-12-02
TeamLease Service,"2,486.95","2,528.45",1.67,weekly nse groupall 2022-12-02
Ujaas Energy,3.00,3.05,1.67,weekly nse groupall 2022-12-02
Chaman Lal Setia,119.90,121.90,1.67,weekly nse groupall 2022-12-02
SIS Ltd,389.25,395.75,1.67,weekly nse groupall 2022-12-02
Tembo Global Indust,108.20,110.00,1.66,weekly nse groupall 2022-12-02
Au Small Finance Ban,637.75,648.35,1.66,weekly nse groupall 2022-12-02
Kriti Industries,82.00,83.35,1.65,weekly nse groupall 2022-12-02
Indigo Paints,"1,318.85","1,340.55",1.65,weekly nse groupall 2022-12-02
Lypsa Gems & Jewell,6.05,6.15,1.65,weekly nse groupall 2022-12-02
Mayur Uniquoters,447.70,455.10,1.65,weekly nse groupall 2022-12-02
MRO-TEK Realty,64.15,65.20,1.64,weekly nse groupall 2022-12-02
Chalet Hotels L,362.10,368.05,1.64,weekly nse groupall 2022-12-02
Blue Star,"1,210.70","1,230.60",1.64,weekly nse groupall 2022-12-02
Ashima Ltd.,15.20,15.45,1.64,weekly nse groupall 2022-12-02
IDFC First Bank,58.05,59.00,1.64,weekly nse groupall 2022-12-02
RBL Bank,150.05,152.50,1.63,weekly nse groupall 2022-12-02
Royal Orchid Hotels,292.05,296.80,1.63,weekly nse groupall 2022-12-02
Gland Pharma,"1,693.10","1,720.75",1.63,weekly nse groupall 2022-12-02
Whirlpool of Ind,"1,511.45","1,536.00",1.62,weekly nse groupall 2022-12-02
JTL Industries,299.85,304.70,1.62,weekly nse groupall 2022-12-02
The Byke Hospitality,40.05,40.70,1.62,weekly nse groupall 2022-12-02
Prakash Pipes,163.75,166.40,1.62,weekly nse groupall 2022-12-02
Bedmutha Industries,64.65,65.70,1.62,weekly nse groupall 2022-12-02
Dodla Dairy,482.90,490.70,1.62,weekly nse groupall 2022-12-02
Compucom Softwr,21.55,21.90,1.62,weekly nse groupall 2022-12-02
Ugro Capital,153.55,156.00,1.6,weekly nse groupall 2022-12-02
LGB Forge Ltd.,9.50,9.65,1.58,weekly nse groupall 2022-12-02
Emkay Global Financi,73.10,74.25,1.57,weekly nse groupall 2022-12-02
HCL Infosystem,15.90,16.15,1.57,weekly nse groupall 2022-12-02
Adani Wilmar,631.50,641.40,1.57,weekly nse groupall 2022-12-02
Tribhovandas Bhimji,73.90,75.05,1.56,weekly nse groupall 2022-12-02
Saregama India Ltd.,376.05,381.90,1.56,weekly nse groupall 2022-12-02
Hindustan Aeronautic,"2,731.55","2,774.25",1.56,weekly nse groupall 2022-12-02
Electrotherm (In,70.95,72.05,1.55,weekly nse groupall 2022-12-02
Escorts Kubota,"2,288.35","2,323.80",1.55,weekly nse groupall 2022-12-02
T T Ltd.,93.45,94.90,1.55,weekly nse groupall 2022-12-02
Central Depository,"1,217.95","1,236.85",1.55,weekly nse groupall 2022-12-02
Just Dial,588.40,597.50,1.55,weekly nse groupall 2022-12-02
RattanIndia Enterp,48.80,49.55,1.54,weekly nse groupall 2022-12-02
Navin Fluorine Inter,"4,351.60","4,418.45",1.54,weekly nse groupall 2022-12-02
Speciality Restauran,197.45,200.50,1.54,weekly nse groupall 2022-12-02
Gokul Refoils & Solv,32.90,33.40,1.52,weekly nse groupall 2022-12-02
Visaka Indus.,450.60,457.45,1.52,weekly nse groupall 2022-12-02
Cholamandalam Invest,720.75,731.65,1.51,weekly nse groupall 2022-12-02
Alkem Laboratories,"3,068.35","3,114.45",1.5,weekly nse groupall 2022-12-02
IIFL Wealth Manage,"1,771.25","1,797.85",1.5,weekly nse groupall 2022-12-02
Silly Monks Entertai,30.10,30.55,1.5,weekly nse groupall 2022-12-02
Vascon Engineers Ltd,40.05,40.65,1.5,weekly nse groupall 2022-12-02
Bhartiya Interna,208.55,211.65,1.49,weekly nse groupall 2022-12-02
Pritika Auto Ind.,16.80,17.05,1.49,weekly nse groupall 2022-12-02
Dhunseri Investments,733.35,744.30,1.49,weekly nse groupall 2022-12-02
Naga Dhunseri Group,"1,407.15","1,428.00",1.48,weekly nse groupall 2022-12-02
Borosil L,408.85,414.90,1.48,weekly nse groupall 2022-12-02
CESC Ltd.,74.45,75.55,1.48,weekly nse groupall 2022-12-02
eClerx Services,"1,429.00","1,450.05",1.47,weekly nse groupall 2022-12-02
Raj Oil Mills Ltd.,58.00,58.85,1.47,weekly nse groupall 2022-12-02
Tata Consultancy,"3,389.65","3,439.15",1.46,weekly nse groupall 2022-12-02
Sunteck Realty Ltd.,393.65,399.40,1.46,weekly nse groupall 2022-12-02
Bata India,"1,710.30","1,735.25",1.46,weekly nse groupall 2022-12-02
De Nora India Ltd.,702.60,712.85,1.46,weekly nse groupall 2022-12-02
Bhagyanagar Properti,41.00,41.60,1.46,weekly nse groupall 2022-12-02
PetronetLNG,209.00,212.00,1.44,weekly nse groupall 2022-12-02
Genesys Int.Corp.,494.30,501.40,1.44,weekly nse groupall 2022-12-02
Aarti Ind. Ltd,664.40,673.90,1.43,weekly nse groupall 2022-12-02
HFCL,80.25,81.40,1.43,weekly nse groupall 2022-12-02
HDFC AMC,"2,162.95","2,193.95",1.43,weekly nse groupall 2022-12-02
TTK Healthcare Ltd.,897.20,910.05,1.43,weekly nse groupall 2022-12-02
Rajratan Global Wire,914.70,927.70,1.42,weekly nse groupall 2022-12-02
NTPC,169.75,172.15,1.41,weekly nse groupall 2022-12-02
I G Petrochemicals,524.45,531.80,1.4,weekly nse groupall 2022-12-02
Signet Industries,39.15,39.70,1.4,weekly nse groupall 2022-12-02
Ador Welding Ltd.,860.00,871.95,1.39,weekly nse groupall 2022-12-02
Digicontent,14.35,14.55,1.39,weekly nse groupall 2022-12-02
Nesco Ltd.,620.85,629.45,1.39,weekly nse groupall 2022-12-02
Kaveri Seed Company,508.10,515.15,1.39,weekly nse groupall 2022-12-02
Panache Digilife,65.30,66.20,1.38,weekly nse groupall 2022-12-02
Everest Kanto Cylind,97.65,99.00,1.38,weekly nse groupall 2022-12-02
LG Balakrishnan&Bros,704.35,713.95,1.36,weekly nse groupall 2022-12-02
Parsvnath Developers,7.35,7.45,1.36,weekly nse groupall 2022-12-02
PNB Gilts Ltd.,62.85,63.70,1.35,weekly nse groupall 2022-12-02
Reliance Home Fin,3.70,3.75,1.35,weekly nse groupall 2022-12-02
Omax Auto,59.15,59.95,1.35,weekly nse groupall 2022-12-02
Mittal Life Style,11.15,11.30,1.35,weekly nse groupall 2022-12-02
NMDC Ltd.,118.30,119.90,1.35,weekly nse groupall 2022-12-02
Diligent Media Corp,3.75,3.80,1.33,weekly nse groupall 2022-12-02
BF Investment Ltd.,284.10,287.85,1.32,weekly nse groupall 2022-12-02
Tamilnadu Telecom,7.60,7.70,1.32,weekly nse groupall 2022-12-02
P&G Hygiene&Health,"13,957.05","14,140.80",1.32,weekly nse groupall 2022-12-02
Guj. Sidhee Ceme,38.20,38.70,1.31,weekly nse groupall 2022-12-02
FSN E-Commerce Ventu,176.05,178.35,1.31,weekly nse groupall 2022-12-02
Manaksia Ltd.,76.25,77.25,1.31,weekly nse groupall 2022-12-02
Privi Speciality Che,"1,177.05","1,192.50",1.31,weekly nse groupall 2022-12-02
Can Fin Homes,544.70,551.80,1.3,weekly nse groupall 2022-12-02
PSP Projects,628.70,636.85,1.3,weekly nse groupall 2022-12-02
Tata Coffee,228.75,231.70,1.29,weekly nse groupall 2022-12-02
Lux Industries,"1,694.75","1,716.45",1.28,weekly nse groupall 2022-12-02
Thomas Scott (India),39.00,39.50,1.28,weekly nse groupall 2022-12-02
Capri Global Capital,742.00,751.50,1.28,weekly nse groupall 2022-12-02
Syncom Formul.,7.80,7.90,1.28,weekly nse groupall 2022-12-02
Aurobindo Pharma,464.05,470.00,1.28,weekly nse groupall 2022-12-02
Mrs. Bectors Food Sp,426.20,431.60,1.27,weekly nse groupall 2022-12-02
UNO Minda,549.35,556.30,1.27,weekly nse groupall 2022-12-02
Affle (India),"1,218.00","1,233.45",1.27,weekly nse groupall 2022-12-02
Pioneer Emb.,44.15,44.70,1.25,weekly nse groupall 2022-12-02
J Kumar Infraproject,276.15,279.60,1.25,weekly nse groupall 2022-12-02
Global Health,451.80,457.45,1.25,weekly nse groupall 2022-12-02
Gallantt Ispat,64.20,65.00,1.25,weekly nse groupall 2022-12-02
Kansai Nerolac Paint,435.30,440.70,1.24,weekly nse groupall 2022-12-02
Sejal Glass,252.90,256.00,1.23,weekly nse groupall 2022-12-02
Libas Consumer Produ,20.45,20.70,1.22,weekly nse groupall 2022-12-02
Walchandnagar,65.55,66.35,1.22,weekly nse groupall 2022-12-02
Bosch Ltd.,"16,936.60","17,143.30",1.22,weekly nse groupall 2022-12-02
Edelweiss Fin. Ser,66.20,67.00,1.21,weekly nse groupall 2022-12-02
Tejas Networks,633.70,641.25,1.19,weekly nse groupall 2022-12-02
Surya Roshni Ltd,475.55,481.20,1.19,weekly nse groupall 2022-12-02
Muthoot Capital,285.30,288.70,1.19,weekly nse groupall 2022-12-02
Delphi World Money,405.90,410.70,1.18,weekly nse groupall 2022-12-02
Sirca Paints India,687.30,695.35,1.17,weekly nse groupall 2022-12-02
Lambodhara Texti,102.95,104.15,1.17,weekly nse groupall 2022-12-02
Shyam Century Ferro,21.60,21.85,1.16,weekly nse groupall 2022-12-02
IRCTC,721.70,730.10,1.16,weekly nse groupall 2022-12-02
Asian Granito India,51.75,52.35,1.16,weekly nse groupall 2022-12-02
Divi's Lab,"3,342.65","3,381.25",1.15,weekly nse groupall 2022-12-02
Sun TV Network Ltd.,486.05,491.65,1.15,weekly nse groupall 2022-12-02
Anik Industries,39.00,39.45,1.15,weekly nse groupall 2022-12-02
Bannari Amman Su,"3,048.85","3,084.05",1.15,weekly nse groupall 2022-12-02
Lakshmi Machines,"13,107.45","13,256.40",1.14,weekly nse groupall 2022-12-02
Asian Paints Ltd.,"3,108.15","3,143.45",1.14,weekly nse groupall 2022-12-02
Nestle India,"19,529.35","19,751.20",1.14,weekly nse groupall 2022-12-02
Oriental Trimex,8.75,8.85,1.14,weekly nse groupall 2022-12-02
Peninsula Land L,13.15,13.30,1.14,weekly nse groupall 2022-12-02
GHCL,569.15,575.55,1.12,weekly nse groupall 2022-12-02
Varroc Engineering,289.65,292.90,1.12,weekly nse groupall 2022-12-02
The Anup Engineering,870.70,880.45,1.12,weekly nse groupall 2022-12-02
Gillanders Arbut,75.65,76.50,1.12,weekly nse groupall 2022-12-02
Hitachi Energy India,"2,904.10","2,936.25",1.11,weekly nse groupall 2022-12-02
Linc L,379.90,384.10,1.11,weekly nse groupall 2022-12-02
Greenlam Industries,331.10,334.75,1.1,weekly nse groupall 2022-12-02
Eldeco Housing &,609.85,616.55,1.1,weekly nse groupall 2022-12-02
L&T,"2,062.75","2,085.50",1.1,weekly nse groupall 2022-12-02
3M India Ltd.,"22,900.80","23,149.35",1.09,weekly nse groupall 2022-12-02
Ramco Industries,164.75,166.55,1.09,weekly nse groupall 2022-12-02
Lumax Inds.,"1,890.80","1,910.75",1.06,weekly nse groupall 2022-12-02
Five-Star Business F,512.55,518.00,1.06,weekly nse groupall 2022-12-02
TVS Motor Co. Ltd.,"1,037.45","1,048.40",1.06,weekly nse groupall 2022-12-02
Pritish Nandy Comm.,42.40,42.85,1.06,weekly nse groupall 2022-12-02
Zenith Steel Pipes,4.70,4.75,1.06,weekly nse groupall 2022-12-02
SoftTech Engineers,149.10,150.65,1.04,weekly nse groupall 2022-12-02
Lyka Labs,136.25,137.65,1.03,weekly nse groupall 2022-12-02
B C Power Controls L,4.85,4.90,1.03,weekly nse groupall 2022-12-02
SJVN Ltd.,38.85,39.25,1.03,weekly nse groupall 2022-12-02
Lokesh Machines,102.75,103.80,1.02,weekly nse groupall 2022-12-02
MMP Industries Ltd.,132.35,133.70,1.02,weekly nse groupall 2022-12-02
Amara Raja Batt.,646.50,653.10,1.02,weekly nse groupall 2022-12-02
Finolex Industries,161.75,163.40,1.02,weekly nse groupall 2022-12-02
FIEM Industries,"1,964.70","1,984.70",1.02,weekly nse groupall 2022-12-02
Wealth First Portfol,291.75,294.70,1.01,weekly nse groupall 2022-12-02
V-Mart Retail,"2,773.00","2,800.50",0.99,weekly nse groupall 2022-12-02
Jagran Prakashan,71.50,72.20,0.98,weekly nse groupall 2022-12-02
Adani Ports & Speci,879.60,888.20,0.98,weekly nse groupall 2022-12-02
Shanti Overseas (Ind,20.55,20.75,0.97,weekly nse groupall 2022-12-02
Vardhman Textiles Lt,341.35,344.65,0.97,weekly nse groupall 2022-12-02
Ahluwalia Contra,429.80,433.95,0.97,weekly nse groupall 2022-12-02
Balaxi Pharmaceutica,575.55,581.15,0.97,weekly nse groupall 2022-12-02
Excel Industries,"1,176.40","1,187.65",0.96,weekly nse groupall 2022-12-02
Kolte-Patil Develope,312.95,315.95,0.96,weekly nse groupall 2022-12-02
Wonder Fibromats,195.30,197.15,0.95,weekly nse groupall 2022-12-02
Coffee Day Enterpris,52.45,52.95,0.95,weekly nse groupall 2022-12-02
Carysil L,493.90,498.60,0.95,weekly nse groupall 2022-12-02
TV Today Network Ltd,249.15,251.50,0.94,weekly nse groupall 2022-12-02
Inox Wind Energy,997.80,"1,007.15",0.94,weekly nse groupall 2022-12-02
Kapston Services,118.55,119.65,0.93,weekly nse groupall 2022-12-02
Sanofi India,"5,689.50","5,742.65",0.93,weekly nse groupall 2022-12-02
Amrutanjan Health Ca,705.80,712.35,0.93,weekly nse groupall 2022-12-02
RS Software (India),26.75,27.00,0.93,weekly nse groupall 2022-12-02
Bharat Forge,847.05,854.95,0.93,weekly nse groupall 2022-12-02
RateGain Travel Tech,305.95,308.75,0.92,weekly nse groupall 2022-12-02
Pilani Investmen,"1,916.25","1,933.95",0.92,weekly nse groupall 2022-12-02
Aban Offshore,48.65,49.10,0.92,weekly nse groupall 2022-12-02
Jindal Stainless (Hi,339.10,342.20,0.91,weekly nse groupall 2022-12-02
Archidply Industries,76.85,77.55,0.91,weekly nse groupall 2022-12-02
Sudarshan Chem.,388.45,392.00,0.91,weekly nse groupall 2022-12-02
Goyal Aluminiums,154.40,155.80,0.91,weekly nse groupall 2022-12-02
Navkar Corporation L,55.50,56.00,0.9,weekly nse groupall 2022-12-02
Sarla Performance Fi,44.85,45.25,0.89,weekly nse groupall 2022-12-02
Mahindra Logistics L,503.40,507.90,0.89,weekly nse groupall 2022-12-02
Rallis India,238.90,241.00,0.88,weekly nse groupall 2022-12-02
Dreamfolks Services,371.15,374.40,0.88,weekly nse groupall 2022-12-02
Titan Company,"2,595.40","2,617.90",0.87,weekly nse groupall 2022-12-02
Bharat Dynamics,957.95,966.30,0.87,weekly nse groupall 2022-12-02
Guj. Alkalie & C,787.25,794.00,0.86,weekly nse groupall 2022-12-02
KSB,"1,911.00","1,927.50",0.86,weekly nse groupall 2022-12-02
